year,membrane,chloride_wc_0.4,chloride_wc_0.35_SF,membrane + chloride_wc_0.4,membrane with maintenance + chloride_wc_0.4,membrane + chloride_wc_0.37_SF,membrane with maintenance + chloride_wc_0.37_SF
116.0,0.9999999999794421,0.776982700656741,0.5527653027592553,0.742434161544445,0.6384167007076095,0.5447256954125612,0.45519087932629954
116.5,0.9999999999794421,0.7781315368053445,0.5533873296836442,0.74376096868769,0.640258184227048,0.545358904054847,0.45594430012305187
117.0,0.9999999999794421,0.7792803729539479,0.5540093566080332,0.7450877758309347,0.6420996677464865,0.5459921126971328,0.4566977209198042
117.5,0.9999999999794421,0.7795469180060823,0.5556425134123989,0.7453956124877099,0.6425269160719248,0.5476546275532985,0.45867585764109575
118.0,0.9999999999794421,0.7798134630582169,0.5572756702167646,0.7457034491444853,0.6429541643973627,0.5493171424094647,0.4606539943623883
118.5,0.9999999999794421,0.7797285280842066,0.5581537508243724,0.745605356539752,0.6428180210882807,0.5502110076226254,0.46171755634830425
119.0,0.9999999999794421,0.7796435931101962,0.5590318314319802,0.7455072639350186,0.6426818777791987,0.551104872835786,0.4627811183342202
119.5,0.9999999999794421,0.7814646718018774,0.5602673563735563,0.7476104535147261,0.6456009070963109,0.5523626078952998,0.4642776294166039
120.0,0.9999999999794421,0.7832857504935585,0.5615028813151325,0.7497136430944331,0.6485199364134229,0.5536203429548134,0.4657741404989879
120.5,0.9999999999794421,0.7838166798814564,0.5628096395891286,0.7503268209660362,0.64937096962559,0.5549505918556712,0.4673569318884826
121.0,0.9999999999794421,0.7843476092693543,0.5641163978631246,0.7509399988376395,0.6502220028377574,0.5562808407565297,0.46893972327797684
121.5,0.9999999999794421,0.7849531005517691,0.5642459085367091,0.7516392892975168,0.651192552222964,0.5564126795476919,0.4690965911418168
122.0,0.9999999999794421,0.7855585918341841,0.5643754192102937,0.7523385797573942,0.6521631016081713,0.5565445183388544,0.4692534590056572
122.5,0.9999999999794421,0.7865241054402774,0.5663769562383759,0.7534536650992176,0.6537107351811362,0.5585820355175222,0.4716777907560993
123.0,0.9999999999794421,0.7874896190463706,0.5683784932664582,0.7545687504410411,0.6552583687541013,0.5606195526961899,0.47410212250654227
123.5,0.9999999999794421,0.7879850734314855,0.5695645222395633,0.7551409577293665,0.6560525386502449,0.5618269020348203,0.47553868233836327
124.0,0.9999999999794421,0.7884805278166004,0.5707505512126685,0.7557131650176918,0.6568467085463887,0.5630342513734506,0.47697524217018294
124.5,0.9999999999794421,0.7895989856006109,0.5722426285940717,0.757004887757307,0.6586394982135202,0.5645531507262264,0.47878249855320343
125.0,0.9999999999794421,0.7907174433846214,0.5737347059754749,0.7582966104969222,0.6604322878806516,0.566072050079002,0.4805897549362239
